loc_store_no,loc_name,loc_admin_street1,loc_admin_street2,loc_admin_city,loc_admin_state,loc_admin_zip,loc_phone,latitude,longitude
MS1001872,KATY MEMORIAL PHARMACY #MS1001872,23920 KATY FREEWAY SUITE 112,Medical Plaza Bldg 1,Katy,TX,77494,(832) 437-7864,29.787137,-95.788318
1,HUMANA PHARMACY - S. RAINBOW,1000 S. Rainbow Blvd,,Las Vegas,NV,89145,(702) 854-7812,36.160644,-115.242778
13871,Walgreens Co. #13871,1016 W SHAW AVE,,FRESNO,CA,93711-3701,559-229-2361,36.809079,-119.809276
2715,"CVS Pharmacy, Inc. #02715",17 WILLIAM H. TAFT RD.,,CINCINNATI,OH,45219,(513) 569-4301,39.12761,-84.510872
10175,Walgreens Co. #10175,12011 E ILIFF AVE,,AURORA,CO,80014-1135,303-695-3049,39.675265,-104.848289
15948,Walgreens Co. #15948,525 E 68TH ST,SUITE F01-170,NEW YORK,NY,10065-4870,212-249-6451,40.764413,-73.954438
18027,"CVS Pharmacy, Inc. #18027",9074 OVERLAND PLAZA,,OVERLAND,MO,63114,(314) 426-4211,38.685476,-90.359045
16911,"CVS Pharmacy, Inc. #16911",10209 E US HIGHWAY 36,,AVON,IN,46123,(317) 271-6598,39.760266,-86.342429
13844,Walgreens Co. #13844,17000 CARR 3,,CANOVANAS,PR,00729-2881,787-957-8050,18.376842,-65.896222
3125,Walgreens Co. #3125,8615 N PORT WASHINGTON RD,,FOX POINT,WI,53217-2202,414-352-0526,43.173528,-87.913044
672,Publix Super Markets Inc. #672,1860 Sandy Plains Road,,Marietta,GA,30066,(770) 578-6627,33.993743,-84.509438
9295,Walgreens Co. #9295,1855 DECHERD BLVD,,DECHERD,TN,37324-3656,931-967-4938,35.205358,-86.094911
18096,"CVS Pharmacy, Inc. #18096",2206 BARNES BLVD.,,ROCKFORD,IL,61112,(815) 332-7078,42.242466,-88.976893
6710,"CVS Pharmacy, Inc. #06710",25622 CROWN VALLEY PKWY.,,LADERA RANCH,CA,92694,(949) 347-6751,33.563748,-117.630145
3400137,Kroger Pharmacy #03400137,3731 RILEY FUZZEL RD,,SPRING,TX,77386,(281) 602-0283,30.118376,-95.382013
412,H-E-B #412,100 EAST HOUSTON ST.,,BEEVILLE,TX,78102-5613,3613583737,28.400334,-97.74602
